28-04-2023 02:17:28 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - (Version.java:21) - HV000001: Hibernate Validator 8.0.0.Final
28-04-2023 02:17:28 [restartedMain] INFO  com.ahmetaksunger.BlogAPI.BlogApiApplication - (StartupInfoLogger.java:51) - Starting BlogApiApplication using Java 19.0.2 with PID 8660 (C:\Users\90538\Desktop\BlogAPI\target\classes started by 90538 in C:\Users\90538\Desktop\BlogAPI)
28-04-2023 02:17:28 [restartedMain] INFO  com.ahmetaksunger.BlogAPI.BlogApiApplication - (SpringApplication.java:632) - No active profile set, falling back to 1 default profile: "default"
28-04-2023 02:17:28 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - (DeferredLog.java:250) - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
28-04-2023 02:17:28 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - (DeferredLog.java:250) - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
28-04-2023 02:17:29 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - (RepositoryConfigurationDelegate.java:138) - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
28-04-2023 02:17:29 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - (RepositoryConfigurationDelegate.java:208) - Finished Spring Data repository scanning in 55 ms. Found 2 JPA repository interfaces.
28-04-2023 02:17:30 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - (TomcatWebServer.java:108) - Tomcat initialized with port(s): 8080 (http)
28-04-2023 02:17:30 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - (ServletWebServerApplicationContext.java:291) - Root WebApplicationContext: initialization completed in 1748 ms
28-04-2023 02:17:30 [restartedMain] INFO  org.hibernate.jpa.internal.util.LogHelper - (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: default]
28-04-2023 02:17:30 [restartedMain] INFO  org.hibernate.Version - (Version.java:44) - HHH000412: Hibernate ORM core version 6.1.7.Final
28-04-2023 02:17:30 [restartedMain] WARN  org.hibernate.orm.deprecation - (EntityManagerFactoryBuilderImpl.java:606) - HHH90000021: Encountered deprecated setting [javax.persistence.validation.mode], use [jakarta.persistence.validation.mode] instead
28-04-2023 02:17:31 [restartedMain] INFO  SQL dialect - (DialectFactoryImpl.java:66) - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
28-04-2023 02:17:32 [restartedMain] WARN  org.hibernate.engine.jdbc.spi.SqlExceptionHelper - (SqlExceptionHelper.java:226) - SQL Warning Code: 0, SQLState: 00000
28-04-2023 02:17:32 [restartedMain] WARN  org.hibernate.engine.jdbc.spi.SqlExceptionHelper - (SqlExceptionHelper.java:227) - constraint "uk_6dotkott2kjsp8vw4d0m25fb7" of relation "users" does not exist, skipping
28-04-2023 02:17:32 [restartedMain] WARN  org.hibernate.engine.jdbc.spi.SqlExceptionHelper - (SqlExceptionHelper.java:226) - SQL Warning Code: 0, SQLState: 00000
28-04-2023 02:17:32 [restartedMain] WARN  org.hibernate.engine.jdbc.spi.SqlExceptionHelper - (SqlExceptionHelper.java:227) - constraint "uk_r43af9ap4edm43mmtq01oddj6" of relation "users" does not exist, skipping
28-04-2023 02:17:32 [restartedMain] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - (JtaPlatformInitiator.java:51) - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
28-04-2023 02:17:32 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - (AbstractEntityManagerFactoryBean.java:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
28-04-2023 02:17:32 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - (JpaBaseConfiguration.java:231) - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
28-04-2023 02:17:32 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain - (DefaultSecurityFilterChain.java:54) - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@449bea82, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5f113a3f, org.springframework.security.web.context.SecurityContextHolderFilter@7b2a43d6, org.springframework.security.web.header.HeaderWriterFilter@6fe307ba, org.springframework.security.web.authentication.logout.LogoutFilter@215a551d, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@5983b443, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@169c13e9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1484c806, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1bf4bc32, org.springframework.security.web.session.SessionManagementFilter@77e39be0, org.springframework.security.web.access.ExceptionTranslationFilter@a1f6461, org.springframework.security.web.access.intercept.AuthorizationFilter@4728eb03]
28-04-2023 02:17:33 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - (OptionalLiveReloadServer.java:59) - LiveReload server is running on port 35729
28-04-2023 02:17:33 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - (TomcatWebServer.java:220) - Tomcat started on port(s): 8080 (http) with context path ''
28-04-2023 02:17:33 [restartedMain] INFO  com.ahmetaksunger.BlogAPI.BlogApiApplication - (StartupInfoLogger.java:57) - Started BlogApiApplication in 5.269 seconds (process running for 6.83)
